Date,Transaction amount,Transaction effect,Transaction category,Additional info,Delete,Currency
08/31/2021,4292,debit,food,,no,INR
08/31/2021,9501,debit,friends,,no,INR
08/31/2021,25100,credit,salary income,,no,INR
08/31/2021,6417,credit,friends,,no,INR
08/31/2021,1500,credit,father,,no,INR
08/31/2021,6104,debit,study,First semester college contribution fees,no,INR
08/31/2021,3000,debit,rent,,no,INR
08/31/2021,2210,debit,father,For home elec. bill,no,INR
08/31/2021,255,debit,phone recharge,,no,INR
08/31/2021,7655,credit,bank: HDFC,log,no,INR
09/30/2021,25100,credit,salary income,,no,INR
09/30/2021,12887,credit,friends,,no,INR
09/30/2021,20000,credit,father,,no,INR
09/30/2021,12,credit,coupons,,no,INR
09/30/2021,2691,credit,bank: HDFC,log,no,INR
09/30/2021,19327,debit,study,"For visa appointment, took vayd service",no,INR
09/30/2021,18588,debit,father,Gave 10k to papa and 1000 to pallavi for rakhi and rest for home electricity bill,no,INR
09/30/2021,1821,debit,food,,no,INR
09/30/2021,3000,debit,rent,,no,INR
09/30/2021,1530,debit,transportation,Went home first time after job,no,INR
09/30/2021,425,debit,phone recharge,,no,INR
10/31/2021,30000,credit,salary income,,no,INR
10/31/2021,20026,credit,friends,18368 from sak and rest from friends,no,INR
10/31/2021,75,credit,coupons,,no,INR
10/31/2021,23571,credit,bank: HDFC,log,no,INR
10/31/2021,3430,debit,material stuff,,no,INR
10/31/2021,14210,debit,father,12000 for papa's max life insurance plan payment and rest for home electricity bill,no,INR
10/31/2021,2351,debit,food,,no,INR
10/31/2021,3000,debit,rent,,no,INR
10/31/2021,13232,debit,friends,8235 to sak and rest to friends,no,INR
10/31/2021,171,debit,phone recharge,,no,INR
11/30/2021,30000,credit,salary income,,no,INR
11/30/2021,1396,credit,friends,719 from sak and rest from friends,no,INR
11/30/2021,6,credit,coupons,,no,INR
11/30/2021,17785,credit,bank: HDFC,log,no,INR
11/30/2021,1019,debit,material stuff,Bought stud shoes from elante mall and bought something from dmart,no,INR
11/30/2021,6241,debit,father,Shop electricity bill and home electricity bill,no,INR
11/30/2021,1423,debit,food,,no,INR
11/30/2021,3000,debit,rent,,no,INR
11/30/2021,3219,debit,friends,2329 to sak and rest to friends,no,INR
11/30/2021,256,debit,phone recharge,,no,INR
11/30/2021,1150,debit,transportation,Went home and elante mall chd,no,INR
12/31/2021,35000,credit,salary income,,no,INR
12/31/2021,64200,credit,stocks,,no,INR
12/31/2021,19,credit,coupons,,no,INR
12/31/2021,41356,debit,bank: HDFC,,no,INR
12/31/2021,9748,debit,don't remember,,no,INR
12/31/2021,1940,debit,food,,no,INR
12/31/2021,3000,debit,rent,,no,INR
01/31/2022,38000,credit,salary income,,no,INR
01/31/2022,4003,credit,freelancing,,no,INR
01/31/2022,2,credit,coupons,,no,INR
01/31/2022,2080,credit,stocks,,no,INR
01/31/2022,3000,debit,friends,,no,INR
01/31/2022,17750,debit,study,,no,INR
01/31/2022,2000,debit,food,,no,INR
01/31/2022,334,debit,transportation,,no,INR
01/31/2022,664,debit,father,,no,INR
01/31/2022,3000,debit,rent,,no,INR
01/31/2022,8931,debit,don't remember,,no,INR
02/28/2022,38000,credit,salary income,,no,INR
02/28/2022,5893,credit,freelancing,,no,INR
02/28/2022,10000,credit,stocks,,no,INR
02/28/2022,15000,debit,father,,no,INR
02/28/2022,3000,debit,rent,,no,INR
02/28/2022,15089,debit,don't remember,,no,INR
03/31/2022,26280,debit,stocks,,no,INR
03/31/2022,10000,credit,bank: HDFC,,no,INR
03/31/2022,9766,debit,don't remember,,no,INR
03/31/2022,20000,debit,father,,no,INR
04/30/2022,11754,debit,stocks,,no,INR
04/30/2022,327870,credit,bank: HDFC,,no,INR
04/30/2022,83471,credit,mutual funds,,no,INR
04/30/2022,7713,credit,groww wallet,,no,INR
04/30/2022,5000,credit,crypto,bought dogecoins,no,INR
04/30/2022,1500000,loan,education loan,loan: 15L disbursed on 17th march with 10.5% simple rate of interest yearly,no,INR
04/30/2022,1500000,credit,bank: HDFC,loan: 15L disbursed on 17th march with 10.5% simple rate of interest yearly,no,INR
04/30/2022,11322,debit,shopping,amazon shopping (bought 2 bags + travel adapter + weighing machine + extension board + cooker),no,INR
04/30/2022,27000,debit,father,,no,INR
04/30/2022,3630,debit,visa,visa d stamping,no,INR
04/30/2022,15000,debit,loan,for hdfc life insurance with hdfc education loan,no,INR
05/31/2022,2870,debit,transportation,visa d stamping travel cost in delhi,no,INR
05/31/2022,930000,debit,bank: HDFC,blocked account transfer from father's sbi account,no,INR
05/31/2022,10541,credit,german blocked account,,no,EUR
05/31/2022,73950,debit,bank: HDFC,290euros rent of one month + 580euros deposit,no,INR
05/31/2022,64015,debit,bank: HDFC,"26640 for the first ticket which is cancelled but not yet refunded, and 37375 for the second ticket booked for 24th may on turkish airlines",no,INR
05/31/2022,870,debit,rent,290euros rent of one month + 580euros deposit,no,EUR
05/31/2022,816,debit,transportation,"26640 for the first ticket which is cancelled but not yet refunded, and 37375 for the second ticket booked for 24th may on turkish airlines",no,EUR
05/31/2022,0,debit,debit,,no,INR
05/31/2022,0,debit,visa,,no,INR
05/31/2022,0,debit,loan,,no,INR